sample.name	subject.ID	sample.type	batch.ID	BAM.file
s_SN10_KFR	s_SN10_KFR	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN10_KFR.bam
s_SN11_RWM	s_SN11_RWM	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN11_RWM.bam
s_SN12_BJR	s_SN12_BJR	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN12_BJR.bam
s_SN13_HS	s_SN13_HS	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN13_HS.bam
s_SN14_JES	s_SN14_JES	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN14_JES.bam
s_SN15_CS	s_SN15_CS	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN15_CS.bam
s_SN16_GS	s_SN16_GS	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN16_GS.bam
s_SN17_SB	s_SN17_SB	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN17_SB.bam
s_SN18_RW	s_SN18_RW	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN18_RW.bam
s_SN19_KL	s_SN19_KL	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN19_KL.bam
s_SN1_JW	s_SN1_JW	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN1_JW.bam
s_SN20_JC	s_SN20_JC	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN20_JC.bam
s_SN21_CK	s_SN21_CK	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN21_CK.bam
s_SN22_CG	s_SN22_CG	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN22_CG.bam
s_SN23_NS	s_SN23_NS	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN23_NS.bam
s_SN24-AA	s_SN24-AA	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN24-AA.bam
s_SN2_BAB	s_SN2_BAB	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN2_BAB.bam
s_SN3_MLB	s_SN3_MLB	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN3_MLB.bam
s_SN4_MJB	s_SN4_MJB	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN4_MJB.bam
s_SN5_PGS	s_SN5_PGS	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN5_PGS.bam
s_SN6_BMG	s_SN6_BMG	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN6_BMG.bam
s_SN7_DGV	s_SN7_DGV	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN7_DGV.bam
s_SN8_CK	s_SN8_CK	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN8_CK.bam
s_SN9_DK	s_SN9_DK	Germline	1	/data2/bsi/tertiary/Klein_Christopher_cjk04/exome/131210_SN316_0352_AC3E1BACXX/secondary_bams/s_SN9_DK.bam
